Aluminio;Hierro;Magnesio;Calcio;Sodio;Lugar
14,4;7,00;4,30;0,15;0,51;Lugar 1
13,8;7,08;3,43;0,12;0,17;Lugar 1
14,6;7,09;3,88;0,13;0,20;Lugar 1
11,5;6,37;5,64;0,16;0,14;Lugar 1
18,3;1,28;0,67;0,03;0,03;Lugar 2
15,8;2,39;0,63;0,01;0,04;Lugar 2
18,0;1,50;0,67;0,01;0,06;Lugar 2
18,0;1,88;0,68;0,01;0,04;Lugar 2
17,7;1,12;0,56;0,06;0,06;Lugar 3
18,3;1,14;0,67;0,06;0,05;Lugar 3
16,7;0,92;0,53;0,01;0,05;Lugar 3
14,8;2,74;0,67;0,03;0,05;Lugar 3

Aluminio ; Hierro ; Magnesio ; Calcio ; Sodio ;
13,8 ; 7,06 ; 5,34 ; 0,20 ; 0,20 ;
20,8 ; 1,51 ; 0,72 ; 0,07 ; 0,10 ;
19,1 ; 1,64 ; 0,60 ; 0,10 ; 0,03 ;

; Anchura máxima ; Altura basio-bregmática ; Longitud basioloalveolar ; Altura nasal ; Época      ;
; -------------- ; ----------------------- ; ------------------------ ; ------------ ; ---------- ;
; 131            ; 138                     ; 89                       ; 49           ; 4000  ;
; 125            ; 131                     ; 92                       ; 48           ; 4000  ;
; 131            ; 132                     ; 99                       ; 50           ; 4000  ;
; 124            ; 138                     ; 101                      ; 48           ; 3300  ;
; 133            ; 134                     ; 97                       ; 48           ; 3300  ;
; 138            ; 134                     ; 98                       ; 45           ; 3300  ;
